Source,Latitude,Longitude,Altitude,Roll,Pitch,Yaw
S1007773_R.JPG,33.012402,-87.640132,143.988998,5.4633,-89.882142,61.148805
S1007776_R.JPG,33.012464,-87.639998,144.811996,0.347657,-89.994838,60.866329
S1007779_R.JPG,33.012527,-87.639862,144.850998,0.13848,-89.993529,61.014063
S1007782_R.JPG,33.012591,-87.639727,144.613998,0.19049,-89.989536,60.885389
S1007785_R.JPG,33.012654,-87.639591,144.307007,-1.504988,-89.993826,61.085397
S1007788_R.JPG,33.012718,-87.639456,143.751999,-2.193808,-89.991348,61.218882
S1007791_R.JPG,33.012781,-87.63932,143.386993,-2.873978,-89.992801,61.256741
S1007794_R.JPG,33.012845,-87.639184,143.841995,1.085081,-89.994736,60.386008
S1007797_R.JPG,33.012909,-87.639049,144.173004,2.638119,-89.993763,60.543607
S1007800_R.JPG,33.012972,-87.638912,144.572006,1.871879,-89.997789,60.595442
S1007803_R.JPG,33.013035,-87.638777,144.514999,3.422193,-89.997238,60.835279
S1007806_R.JPG,33.01319,-87.63887,144.126999,-18.049184,-89.995283,240.940172
S1007809_R.JPG,33.013133,-87.639007,143.688995,-1.166757,-89.99484,239.940474
S1007812_R.JPG,33.013069,-87.639143,143.598999,-2.268065,-89.994283,240.163876
S1007815_R.JPG,33.013005,-87.639279,143.634995,-3.549801,-89.99261,239.763345
S1007818_R.JPG,33.012942,-87.639415,143.876999,-2.114696,-89.994832,239.822787
S1007821_R.JPG,33.012878,-87.63955,143.904007,-2.376319,-89.991477,240.112467
S1007824_R.JPG,33.012814,-87.639686,143.910995,-1.657359,-89.988601,239.997411
S1007827_R.JPG,33.01275,-87.639825,143.931,-1.843932,-89.992528,240.170038
S1007830_R.JPG,33.012686,-87.639962,144.169006,-3.052903,-89.996766,240.944639
S1007833_R.JPG,33.012623,-87.640098,144.360992,-4.684565,-89.995373,240.854211
S1007836_R.JPG,33.012559,-87.640233,144.238007,-1.821386,-89.995787,240.182104
S1007839_R.JPG,33.012708,-87.64034,144.175995,19.464144,-89.997121,60.573463
S1007842_R.JPG,33.012776,-87.64021,144.326004,4.774711,-89.991099,60.535776
S1007845_R.JPG,33.012839,-87.640073,144.328995,4.994869,-89.992694,60.579889
S1007848_R.JPG,33.012904,-87.639935,144.255005,4.501364,-89.994751,60.612583
S1007851_R.JPG,33.012968,-87.639798,144.194,4.500773,-89.998224,60.670229
