Source,Latitude,Longitude,Altitude,Roll,Pitch,Yaw,ImageWidth,ImageHeight
S1007771.JPG,33.012401,-87.640132,143.931,0.78574,-89.994625,61.029864,8192,6144
S1007774.JPG,33.012463,-87.639998,144.843002,0.241907,-89.994732,60.748605,8192,6144
S1007777.JPG,33.012527,-87.639862,144.778,0.252897,-89.983976,60.909338,8192,6144
S1007780.JPG,33.012591,-87.639727,144.567001,0.767094,-89.993761,60.724789,8192,6144
S1007783.JPG,33.012654,-87.639591,144.264008,-0.549774,-89.991269,61.176601,8192,6144
S1007786.JPG,33.012718,-87.639456,143.740005,-0.027746,-89.990223,61.069008,8192,6144
S1007789.JPG,33.012781,-87.63932,143.389008,-1.638034,-89.988282,61.870554,8192,6144
S1007792.JPG,33.012845,-87.639184,143.854996,0.284721,-89.996659,60.428196,8192,6144
S1007795.JPG,33.012909,-87.639048,144.212006,1.455668,-89.993311,60.691394,8192,6144
S1007798.JPG,33.012972,-87.638912,144.548004,1.270891,-89.989877,60.658564,8192,6144
S1007801.JPG,33.013035,-87.638777,144.498993,3.63669,-89.997583,60.516775,8192,6144
S1007804.JPG,33.013193,-87.638873,144.164993,-13.006605,-89.991058,240.456047,8192,6144
S1007807.JPG,33.013132,-87.63901,143.701004,-1.587586,-89.997005,240.76349,8192,6144
S1007810.JPG,33.013068,-87.639146,143.612,-4.087049,-89.993952,240.961632,8192,6144
S1007813.JPG,33.013004,-87.639281,143.686996,-2.997974,-89.996087,240.295703,8192,6144
S1007816.JPG,33.012941,-87.639417,143.927994,-2.476364,-89.999663,240.460193,8192,6144
S1007819.JPG,33.012877,-87.639553,143.929993,-2.955148,-89.9938,240.740268,8192,6144
S1007822.JPG,33.012813,-87.639689,143.953003,-1.350537,-89.996963,240.459551,8192,6144
S1007825.JPG,33.01275,-87.639826,143.996002,-4.295614,-89.991594,241.167757,8192,6144
S1007828.JPG,33.012686,-87.639963,144.296005,-5.531814,-89.995881,241.374712,8192,6144
S1007831.JPG,33.012623,-87.640099,144.535004,-6.577175,-89.999297,241.292548,8192,6144
S1007834.JPG,33.012559,-87.640235,144.326004,-4.431677,-89.994305,241.516077,8192,6144
S1007837.JPG,33.01271,-87.640343,144.134003,14.8288,-89.993836,60.576978,8192,6144
S1007840.JPG,33.012776,-87.64021,144.322998,4.735242,-89.989173,60.456468,8192,6144
S1007843.JPG,33.01284,-87.640073,144.326996,4.918915,-89.993438,60.530855,8192,6144
